SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI,ISIN_CODE,TRADING_DATE,FILLER2,FILLER3
500002,ABB LTD.    ,A ,Q,1231.05,1266.45,1231.00,1251.55,1266.45,1230.35,574,9060,11252441.00,,INE117A01022,12-Feb-19,,
500003,AEGIS LOGIS ,A ,Q,192.00,195.90,185.50,193.50,195.90,191.70,389,7250,1369974.00,,INE208C01025,12-Feb-19,,
500008,AMAR RAJA BA,A ,Q,730.00,759.60,730.00,741.25,739.00,739.65,1256,40109,29867558.00,,INE885A01032,12-Feb-19,,
500009,A.SARABHAI  ,X ,Q,12.15,13.00,11.61,12.56,12.90,11.98,76,18916,238662.00,,INE432A01017,12-Feb-19,,
500010,HDFC        ,A ,Q,1951.00,1955.95,1901.90,1905.60,1905.60,1948.00,1358,41943,80655259.00,,INE001A01036,12-Feb-19,,
500012,ANDHRA PETRO,X ,Q,52.00,52.00,49.05,50.80,50.80,50.20,276,76257,3864649.00,,INE714B01016,12-Feb-19,,
500013,ANSAL INFRAS,B ,Q,9.71,10.00,9.60,9.87,9.89,9.81,35,10595,102991.00,,INE436A01026,12-Feb-19,,
500014,APPLE FINANC,XT,Q,1.81,1.90,1.81,1.82,1.82,1.90,6,2464,4462.00,,INE096A01010,12-Feb-19,,
500016,ARUNAHTEL   ,XT,Q,7.18,7.18,7.18,7.18,7.18,7.55,1,100,718.00,,INE957C01019,12-Feb-19,,
500020,BOM DYEING  ,B ,Q,103.75,108.95,102.50,105.40,105.40,102.85,2239,150807,15961307.00,,INE032A01023,12-Feb-19,,
500023,ASIANHOTNR  ,B ,Q,144.00,144.00,142.00,142.00,142.00,145.00,9,1500,213404.00,,INE363A01022,12-Feb-19,,
500024,ASSAMCO     ,B ,Q,2.02,2.04,1.73,2.03,2.03,1.86,202,175840,354636.00,,INE442A01024,12-Feb-19,,
500027,ATUL LTD.   ,A ,Q,3402.00,3436.95,3370.00,3424.35,3429.00,3420.60,199,4791,16271016.00,,INE100A01010,12-Feb-19,,
